idx,tag
5925ba269cedf494b6cbcfcb29bc6ef2,healthcare
5925ba269cedf494b6cbcfcb29bc6ef2,brain
5925ba269cedf494b6cbcfcb29bc6ef2,health care
5925ba269cedf494b6cbcfcb29bc6ef2,mental health
5925ba269cedf494b6cbcfcb29bc6ef2,science
5925ba269cedf494b6cbcfcb29bc6ef2,biology
6419f8036f4387cbd0bc3be095792534,TED
6419f8036f4387cbd0bc3be095792534,talks
6419f8036f4387cbd0bc3be095792534,surveillance
6419f8036f4387cbd0bc3be095792534,law
6419f8036f4387cbd0bc3be095792534,privacy
6419f8036f4387cbd0bc3be095792534,technology
6419f8036f4387cbd0bc3be095792534,TEDx
6419f8036f4387cbd0bc3be095792534,government
9035928f8c8a0707b1e6e2ce965cdd15,TED
9035928f8c8a0707b1e6e2ce965cdd15,talks
9035928f8c8a0707b1e6e2ce965cdd15,work
9035928f8c8a0707b1e6e2ce965cdd15,work-life balance
9035928f8c8a0707b1e6e2ce965cdd15,business
9035928f8c8a0707b1e6e2ce965cdd15,communication
9035928f8c8a0707b1e6e2ce965cdd15,economics
14703c6bf73f252b7afe6fb8ded3f204,TED
14703c6bf73f252b7afe6fb8ded3f204,talks
14703c6bf73f252b7afe6fb8ded3f204,TED-Ed
14703c6bf73f252b7afe6fb8ded3f204,education
14703c6bf73f252b7afe6fb8ded3f204,coronavirus
14703c6bf73f252b7afe6fb8ded3f204,animation
14703c6bf73f252b7afe6fb8ded3f204,health
14703c6bf73f252b7afe6fb8ded3f204,virus
14703c6bf73f252b7afe6fb8ded3f204,public health
14703c6bf73f252b7afe6fb8ded3f204,illness
14703c6bf73f252b7afe6fb8ded3f204,disease
14703c6bf73f252b7afe6fb8ded3f204,biology
14703c6bf73f252b7afe6fb8ded3f204,science
54efb69a21c9a623ab84cb7ecda851f2,TED
54efb69a21c9a623ab84cb7ecda851f2,talks
54efb69a21c9a623ab84cb7ecda851f2,self
54efb69a21c9a623ab84cb7ecda851f2,emotions
54efb69a21c9a623ab84cb7ecda851f2,psychology
54efb69a21c9a623ab84cb7ecda851f2,mental health
54efb69a21c9a623ab84cb7ecda851f2,health
54efb69a21c9a623ab84cb7ecda851f2,health care
54efb69a21c9a623ab84cb7ecda851f2,writing
54efb69a21c9a623ab84cb7ecda851f2,storytelling
54efb69a21c9a623ab84cb7ecda851f2,community
54efb69a21c9a623ab84cb7ecda851f2,communication
54efb69a21c9a623ab84cb7ecda851f2,TED Fellows
3c71bc402deca72be5c0d50f7bb212bb,TED
3c71bc402deca72be5c0d50f7bb212bb,talks
3c71bc402deca72be5c0d50f7bb212bb,AI
3c71bc402deca72be5c0d50f7bb212bb,virus
3c71bc402deca72be5c0d50f7bb212bb,synthetic biology
3c71bc402deca72be5c0d50f7bb212bb,machine learning
3c71bc402deca72be5c0d50f7bb212bb,Vaccines
3c71bc402deca72be5c0d50f7bb212bb,coronavirus
3c71bc402deca72be5c0d50f7bb212bb,medical research
3c71bc402deca72be5c0d50f7bb212bb,public health
3c71bc402deca72be5c0d50f7bb212bb,Audacious Project
3b65f170fbf2fc4524c61cd9d513010c,TED
3b65f170fbf2fc4524c61cd9d513010c,talks
3b65f170fbf2fc4524c61cd9d513010c,animation
3b65f170fbf2fc4524c61cd9d513010c,history
3b65f170fbf2fc4524c61cd9d513010c,TED-Ed
3b65f170fbf2fc4524c61cd9d513010c,education
3b65f170fbf2fc4524c61cd9d513010c,women
3b65f170fbf2fc4524c61cd9d513010c,religion
3b65f170fbf2fc4524c61cd9d513010c,United States
3b65f170fbf2fc4524c61cd9d513010c,magic
c312a3262f5dfbea386781bf909f0da3,TED
c312a3262f5dfbea386781bf909f0da3,talks
c312a3262f5dfbea386781bf909f0da3,TED Fellows
c312a3262f5dfbea386781bf909f0da3,oceans
c312a3262f5dfbea386781bf909f0da3,design
c312a3262f5dfbea386781bf909f0da3,materials
c312a3262f5dfbea386781bf909f0da3,innovation
c312a3262f5dfbea386781bf909f0da3,climate change
c312a3262f5dfbea386781bf909f0da3,energy
c312a3262f5dfbea386781bf909f0da3,nature
c312a3262f5dfbea386781bf909f0da3,physics
929cca5453266738c36d0dbf060c7720,TED
929cca5453266738c36d0dbf060c7720,talks
929cca5453266738c36d0dbf060c7720,animals
929cca5453266738c36d0dbf060c7720,TED-Ed
929cca5453266738c36d0dbf060c7720,animation
929cca5453266738c36d0dbf060c7720,oceans
929cca5453266738c36d0dbf060c7720,science
929cca5453266738c36d0dbf060c7720,education
929cca5453266738c36d0dbf060c7720,biology
929cca5453266738c36d0dbf060c7720,climate change
9b1d4ff114e93f6a4176f69191b0c9e1,TED
9b1d4ff114e93f6a4176f69191b0c9e1,talks
9b1d4ff114e93f6a4176f69191b0c9e1,TED-Ed
9b1d4ff114e93f6a4176f69191b0c9e1,education
9b1d4ff114e93f6a4176f69191b0c9e1,animation
9b1d4ff114e93f6a4176f69191b0c9e1,United States
9b1d4ff114e93f6a4176f69191b0c9e1,women
9b1d4ff114e93f6a4176f69191b0c9e1,feminism
9b1d4ff114e93f6a4176f69191b0c9e1,Slavery
9b1d4ff114e93f6a4176f69191b0c9e1,race
9b1d4ff114e93f6a4176f69191b0c9e1,history
9b1d4ff114e93f6a4176f69191b0c9e1,activism
9b1d4ff114e93f6a4176f69191b0c9e1,speech
9b1d4ff114e93f6a4176f69191b0c9e1,war
9b1d4ff114e93f6a4176f69191b0c9e1,religion
9b1d4ff114e93f6a4176f69191b0c9e1,storytelling
50c437eca1cd424f161b0db7e61dd648,TED
50c437eca1cd424f161b0db7e61dd648,talks
50c437eca1cd424f161b0db7e61dd648,society
50c437eca1cd424f161b0db7e61dd648,law
50c437eca1cd424f161b0db7e61dd648,policy
50c437eca1cd424f161b0db7e61dd648,justice system
50c437eca1cd424f161b0db7e61dd648,TEDx
a55757d2f3801e818684a8ca53a73acc,TED
a55757d2f3801e818684a8ca53a73acc,talks
a55757d2f3801e818684a8ca53a73acc,TED-Ed
a55757d2f3801e818684a8ca53a73acc,education
a55757d2f3801e818684a8ca53a73acc,history
a55757d2f3801e818684a8ca53a73acc,animation
a55757d2f3801e818684a8ca53a73acc,intelligence
a55757d2f3801e818684a8ca53a73acc,testing
a55757d2f3801e818684a8ca53a73acc,psychology
a55757d2f3801e818684a8ca53a73acc,brain
272b5cfbc0792fc2efe12f9840442d53,TED
272b5cfbc0792fc2efe12f9840442d53,talks
272b5cfbc0792fc2efe12f9840442d53,activism
272b5cfbc0792fc2efe12f9840442d53,data
272b5cfbc0792fc2efe12f9840442d53,technology
272b5cfbc0792fc2efe12f9840442d53,mental health
272b5cfbc0792fc2efe12f9840442d53,software
272b5cfbc0792fc2efe12f9840442d53,communication
272b5cfbc0792fc2efe12f9840442d53,community
c4d0cc7a1ce328dc606afcf6f10e4639,TED
c4d0cc7a1ce328dc606afcf6f10e4639,talks
c4d0cc7a1ce328dc606afcf6f10e4639,coronavirus
c4d0cc7a1ce328dc606afcf6f10e4639,pandemic
c4d0cc7a1ce328dc606afcf6f10e4639,epidemiology
c4d0cc7a1ce328dc606afcf6f10e4639,virus
c4d0cc7a1ce328dc606afcf6f10e4639,big problems
c4d0cc7a1ce328dc606afcf6f10e4639,global issues
c4d0cc7a1ce328dc606afcf6f10e4639,collaboration
c4d0cc7a1ce328dc606afcf6f10e4639,science
50e5347050630f624510f413e57cdad7,TED
50e5347050630f624510f413e57cdad7,talks
50e5347050630f624510f413e57cdad7,animation
50e5347050630f624510f413e57cdad7,TED-Ed
50e5347050630f624510f413e57cdad7,cities
50e5347050630f624510f413e57cdad7,education
50e5347050630f624510f413e57cdad7,nature
50e5347050630f624510f413e57cdad7,climate change
50e5347050630f624510f413e57cdad7,trees
50e5347050630f624510f413e57cdad7,history
50e5347050630f624510f413e57cdad7,natural resources
50e5347050630f624510f413e57cdad7,science
50e5347050630f624510f413e57cdad7,water
50e5347050630f624510f413e57cdad7,urban planning
50e5347050630f624510f413e57cdad7,health
50e5347050630f624510f413e57cdad7,public health
50e5347050630f624510f413e57cdad7,public spaces
86d21cefc91ef3de935a8f8ba1a8699f,TED
86d21cefc91ef3de935a8f8ba1a8699f,talks
86d21cefc91ef3de935a8f8ba1a8699f,life
86d21cefc91ef3de935a8f8ba1a8699f,emotions
86d21cefc91ef3de935a8f8ba1a8699f,communication
86d21cefc91ef3de935a8f8ba1a8699f,stigma
86d21cefc91ef3de935a8f8ba1a8699f,psychology
1975c0b1cabec53ab0f1f324f309ddea,TED
1975c0b1cabec53ab0f1f324f309ddea,talks
1975c0b1cabec53ab0f1f324f309ddea,TED-Ed
1975c0b1cabec53ab0f1f324f309ddea,education
1975c0b1cabec53ab0f1f324f309ddea,animation
1975c0b1cabec53ab0f1f324f309ddea,fashion
1975c0b1cabec53ab0f1f324f309ddea,climate change
1975c0b1cabec53ab0f1f324f309ddea,science
1975c0b1cabec53ab0f1f324f309ddea,environment
1975c0b1cabec53ab0f1f324f309ddea,manufacturing
1975c0b1cabec53ab0f1f324f309ddea,sustainability
9e48be4cce9a835897cdcbdeec4f24c9,TED
9e48be4cce9a835897cdcbdeec4f24c9,talks
9e48be4cce9a835897cdcbdeec4f24c9,climate change
9e48be4cce9a835897cdcbdeec4f24c9,choice
9e48be4cce9a835897cdcbdeec4f24c9,leadership
9e48be4cce9a835897cdcbdeec4f24c9,society
9e48be4cce9a835897cdcbdeec4f24c9,global issues
9e48be4cce9a835897cdcbdeec4f24c9,environment
9e48be4cce9a835897cdcbdeec4f24c9,fear
9e48be4cce9a835897cdcbdeec4f24c9,humanity
cddbd712560e3b3623039c32386170db,TED
cddbd712560e3b3623039c32386170db,talks
cddbd712560e3b3623039c32386170db,Planets
cddbd712560e3b3623039c32386170db,art
cddbd712560e3b3623039c32386170db,poetry
cddbd712560e3b3623039c32386170db,life
cddbd712560e3b3623039c32386170db,love
cddbd712560e3b3623039c32386170db,empathy
cddbd712560e3b3623039c32386170db,humanity
cddbd712560e3b3623039c32386170db,personal growth
cddbd712560e3b3623039c32386170db,visualizations
cddbd712560e3b3623039c32386170db,creativity
cddbd712560e3b3623039c32386170db,community
fd61b17c98dbe257902e1994f3e3bb2b,TED
fd61b17c98dbe257902e1994f3e3bb2b,talks
fd61b17c98dbe257902e1994f3e3bb2b,life
fd61b17c98dbe257902e1994f3e3bb2b,society
fd61b17c98dbe257902e1994f3e3bb2b,immigration
fd61b17c98dbe257902e1994f3e3bb2b,humanity
fd61b17c98dbe257902e1994f3e3bb2b,self
fd61b17c98dbe257902e1994f3e3bb2b,personal growth
952cbaae3c7d0b23d019bb37303ea690,TED
952cbaae3c7d0b23d019bb37303ea690,talks
952cbaae3c7d0b23d019bb37303ea690,biology
952cbaae3c7d0b23d019bb37303ea690,evolution
952cbaae3c7d0b23d019bb37303ea690,medicine
952cbaae3c7d0b23d019bb37303ea690,science
952cbaae3c7d0b23d019bb37303ea690,history
952cbaae3c7d0b23d019bb37303ea690,TEDx
952cbaae3c7d0b23d019bb37303ea690,genetics
952cbaae3c7d0b23d019bb37303ea690,anthropology
7357a5c11fb0ef1bf320301d8c4aa346,TED
7357a5c11fb0ef1bf320301d8c4aa346,talks
7357a5c11fb0ef1bf320301d8c4aa346,TED-Ed
7357a5c11fb0ef1bf320301d8c4aa346,education
7357a5c11fb0ef1bf320301d8c4aa346,animation
7357a5c11fb0ef1bf320301d8c4aa346,dance
7357a5c11fb0ef1bf320301d8c4aa346,history
7357a5c11fb0ef1bf320301d8c4aa346,arts
7357a5c11fb0ef1bf320301d8c4aa346,music
61db947103a4489a4ef3718f0acf6c92,TED
61db947103a4489a4ef3718f0acf6c92,talks
61db947103a4489a4ef3718f0acf6c92,performance
61db947103a4489a4ef3718f0acf6c92,music
61db947103a4489a4ef3718f0acf6c92,art
61db947103a4489a4ef3718f0acf6c92,live music
8ca202128bbfd49ebfd335f2766aaace,TED
8ca202128bbfd49ebfd335f2766aaace,talks
8ca202128bbfd49ebfd335f2766aaace,family
8ca202128bbfd49ebfd335f2766aaace,parenting
8ca202128bbfd49ebfd335f2766aaace,communication
8ca202128bbfd49ebfd335f2766aaace,children
8ca202128bbfd49ebfd335f2766aaace,relationships
8ca202128bbfd49ebfd335f2766aaace,TEDx
7d5a0fb479da2601f7e8a47a2e0fc30e,TED
7d5a0fb479da2601f7e8a47a2e0fc30e,talks
7d5a0fb479da2601f7e8a47a2e0fc30e,TED-Ed
7d5a0fb479da2601f7e8a47a2e0fc30e,education
7d5a0fb479da2601f7e8a47a2e0fc30e,programming
7d5a0fb479da2601f7e8a47a2e0fc30e,animation
7d5a0fb479da2601f7e8a47a2e0fc30e,code
7d5a0fb479da2601f7e8a47a2e0fc30e,engineering
7d5a0fb479da2601f7e8a47a2e0fc30e,computers
7d5a0fb479da2601f7e8a47a2e0fc30e,math
7d5a0fb479da2601f7e8a47a2e0fc30e,Internet
7d5a0fb479da2601f7e8a47a2e0fc30e,technology
545e4ae32db61f5a232e86839673ae6d,TED
545e4ae32db61f5a232e86839673ae6d,talks
545e4ae32db61f5a232e86839673ae6d,personal growth
545e4ae32db61f5a232e86839673ae6d,music
545e4ae32db61f5a232e86839673ae6d,life
545e4ae32db61f5a232e86839673ae6d,productivity
c20d79b28bedd5e706a4dde5df573f8b,TED
c20d79b28bedd5e706a4dde5df573f8b,talks
c20d79b28bedd5e706a4dde5df573f8b,decision-making
c20d79b28bedd5e706a4dde5df573f8b,behavioral economics
c20d79b28bedd5e706a4dde5df573f8b,life
c20d79b28bedd5e706a4dde5df573f8b,brain
c20d79b28bedd5e706a4dde5df573f8b,emotions
1ddab4c0ea79cd433ea1dd58d5de1dad,TED
1ddab4c0ea79cd433ea1dd58d5de1dad,talks
1ddab4c0ea79cd433ea1dd58d5de1dad,race
1ddab4c0ea79cd433ea1dd58d5de1dad,inequality
1ddab4c0ea79cd433ea1dd58d5de1dad,United States
1ddab4c0ea79cd433ea1dd58d5de1dad,economics
1ddab4c0ea79cd433ea1dd58d5de1dad,social change
1ddab4c0ea79cd433ea1dd58d5de1dad,society
f725a80ddd90644585d79359a6fc1e0b,TED
f725a80ddd90644585d79359a6fc1e0b,talks
f725a80ddd90644585d79359a6fc1e0b,humanity
f725a80ddd90644585d79359a6fc1e0b,technology
f725a80ddd90644585d79359a6fc1e0b,curiosity
f725a80ddd90644585d79359a6fc1e0b,science
f725a80ddd90644585d79359a6fc1e0b,exploration
0e21c45ffd893b4298b96f7612df7a5e,TED
0e21c45ffd893b4298b96f7612df7a5e,talks
0e21c45ffd893b4298b96f7612df7a5e,education
0e21c45ffd893b4298b96f7612df7a5e,TED-Ed
0e21c45ffd893b4298b96f7612df7a5e,animation
0e21c45ffd893b4298b96f7612df7a5e,insects
0e21c45ffd893b4298b96f7612df7a5e,biology
0e21c45ffd893b4298b96f7612df7a5e,plants
0e21c45ffd893b4298b96f7612df7a5e,nature
0e21c45ffd893b4298b96f7612df7a5e,food
2acb78dd58594ff1950a05965d0f46b5,TED
2acb78dd58594ff1950a05965d0f46b5,talks
2acb78dd58594ff1950a05965d0f46b5,TED-Ed
2acb78dd58594ff1950a05965d0f46b5,animation
2acb78dd58594ff1950a05965d0f46b5,education
2acb78dd58594ff1950a05965d0f46b5,feminism
2acb78dd58594ff1950a05965d0f46b5,women
2acb78dd58594ff1950a05965d0f46b5,race
2acb78dd58594ff1950a05965d0f46b5,history
2acb78dd58594ff1950a05965d0f46b5,activism
2acb78dd58594ff1950a05965d0f46b5,United States
50c4a1c8754b3693316b9280976d2d6b,TED
50c4a1c8754b3693316b9280976d2d6b,talks
50c4a1c8754b3693316b9280976d2d6b,molecular biology
50c4a1c8754b3693316b9280976d2d6b,CRISPR
50c4a1c8754b3693316b9280976d2d6b,biology
50c4a1c8754b3693316b9280976d2d6b,animation
50c4a1c8754b3693316b9280976d2d6b,science
50c4a1c8754b3693316b9280976d2d6b,TED Fellows
50c4a1c8754b3693316b9280976d2d6b,human body
50c4a1c8754b3693316b9280976d2d6b,software
50c4a1c8754b3693316b9280976d2d6b,visualizations
0cf8c243456a7c6479317187e7f5e682,TED
0cf8c243456a7c6479317187e7f5e682,talks
0cf8c243456a7c6479317187e7f5e682,Planets
0cf8c243456a7c6479317187e7f5e682,space
0cf8c243456a7c6479317187e7f5e682,chemistry
0cf8c243456a7c6479317187e7f5e682,exploration
0cf8c243456a7c6479317187e7f5e682,discovery
0cf8c243456a7c6479317187e7f5e682,science
0cf8c243456a7c6479317187e7f5e682,cosmos
0cf8c243456a7c6479317187e7f5e682,universe
0cf8c243456a7c6479317187e7f5e682,life
87eea718587b83260cbd8830a90caed3,TED
87eea718587b83260cbd8830a90caed3,talks
87eea718587b83260cbd8830a90caed3,TED Connects
87eea718587b83260cbd8830a90caed3,coronavirus
87eea718587b83260cbd8830a90caed3,pandemic
87eea718587b83260cbd8830a90caed3,economics
87eea718587b83260cbd8830a90caed3,government
87eea718587b83260cbd8830a90caed3,politics
1cfa8af116f9b3e3855b8c1799e166dc,TED
1cfa8af116f9b3e3855b8c1799e166dc,talks
1cfa8af116f9b3e3855b8c1799e166dc,TED Connects
1cfa8af116f9b3e3855b8c1799e166dc,india
1cfa8af116f9b3e3855b8c1799e166dc,economics
1cfa8af116f9b3e3855b8c1799e166dc,poverty
1cfa8af116f9b3e3855b8c1799e166dc,coronavirus
1cfa8af116f9b3e3855b8c1799e166dc,infrastructure
1cfa8af116f9b3e3855b8c1799e166dc,humanity
5cba0760a48672accc7c3ca8f319a983,TED
5cba0760a48672accc7c3ca8f319a983,talks
5cba0760a48672accc7c3ca8f319a983,technology
5cba0760a48672accc7c3ca8f319a983,health care
5cba0760a48672accc7c3ca8f319a983,humanity
5cba0760a48672accc7c3ca8f319a983,medicine
5cba0760a48672accc7c3ca8f319a983,health
5cba0760a48672accc7c3ca8f319a983,society
5cba0760a48672accc7c3ca8f319a983,illness
bc42dcbc5982802304268e921c777172,TED
bc42dcbc5982802304268e921c777172,talks
bc42dcbc5982802304268e921c777172,coronavirus
bc42dcbc5982802304268e921c777172,finance
bc42dcbc5982802304268e921c777172,global issues
bc42dcbc5982802304268e921c777172,economics
bc42dcbc5982802304268e921c777172,TED Connects
19e91a31118082e738c8e454b35d6e81,TED
19e91a31118082e738c8e454b35d6e81,talks
19e91a31118082e738c8e454b35d6e81,education
19e91a31118082e738c8e454b35d6e81,brain
19e91a31118082e738c8e454b35d6e81,animation
19e91a31118082e738c8e454b35d6e81,TED-Ed
19e91a31118082e738c8e454b35d6e81,health
19e91a31118082e738c8e454b35d6e81,human body
19e91a31118082e738c8e454b35d6e81,addiction
19e91a31118082e738c8e454b35d6e81,biology
19e91a31118082e738c8e454b35d6e81,physiology
19e91a31118082e738c8e454b35d6e81,sleep
19e91a31118082e738c8e454b35d6e81,public health
19e91a31118082e738c8e454b35d6e81,science
19e91a31118082e738c8e454b35d6e81,food
3c33c81019569b6fa32768362f521705,TED
3c33c81019569b6fa32768362f521705,talks
3c33c81019569b6fa32768362f521705,TED Connects
3c33c81019569b6fa32768362f521705,activism
3c33c81019569b6fa32768362f521705,technology
3c33c81019569b6fa32768362f521705,coronavirus
3c33c81019569b6fa32768362f521705,product design
0a772eaff16d5fee09b0662a84803370,TED
0a772eaff16d5fee09b0662a84803370,talks
0a772eaff16d5fee09b0662a84803370,relationships
0a772eaff16d5fee09b0662a84803370,love
0a772eaff16d5fee09b0662a84803370,empathy
0a772eaff16d5fee09b0662a84803370,communication
0a772eaff16d5fee09b0662a84803370,humanity
0a772eaff16d5fee09b0662a84803370,family
0a772eaff16d5fee09b0662a84803370,collaboration
28b979a6d755d107e873341dde108dc2,TED
28b979a6d755d107e873341dde108dc2,talks
28b979a6d755d107e873341dde108dc2,coronavirus
28b979a6d755d107e873341dde108dc2,public health
28b979a6d755d107e873341dde108dc2,pandemic
28b979a6d755d107e873341dde108dc2,virus
28b979a6d755d107e873341dde108dc2,medicine
28b979a6d755d107e873341dde108dc2,health care
28b979a6d755d107e873341dde108dc2,TED Connects
28b979a6d755d107e873341dde108dc2,science
28b979a6d755d107e873341dde108dc2,medical research
c4c7a6ce990dbfd8c252714b9b2a9123,TED
c4c7a6ce990dbfd8c252714b9b2a9123,talks
c4c7a6ce990dbfd8c252714b9b2a9123,language
c4c7a6ce990dbfd8c252714b9b2a9123,history
c4c7a6ce990dbfd8c252714b9b2a9123,culture
c4c7a6ce990dbfd8c252714b9b2a9123,policy
c4c7a6ce990dbfd8c252714b9b2a9123,indigenous peoples
c4c7a6ce990dbfd8c252714b9b2a9123,education
c4c7a6ce990dbfd8c252714b9b2a9123,TEDx
4f33ff728062aa2a7eb48d0b6ea4990d,TED
4f33ff728062aa2a7eb48d0b6ea4990d,talks
4f33ff728062aa2a7eb48d0b6ea4990d,education
